street,arrondissement_number,from_url
Terrasse Lautréamont,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Pirouette,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Poquelin,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue des Piliers,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue de l’Orient-Express,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue de l’Oculus,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue de l'Équerre-d'Argent,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue du Cinéma,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Brève,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue de la Boucle,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue des Bons-Vivants,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue Basse,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Rue de l'Arc-en-Ciel,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Porte Saint-Eustache,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Porte Rambuteau,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Porte du Pont-Neuf,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Porte du Louvre,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Porte du Jour,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Porte Lescot,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Porte Berger,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Place de la Rotonde,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Place Carrée,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Place Basse,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Patio-place Pina-Bausch,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
Passage des Verrières,1,https://fr.wikipedia.org/wiki/Liste_des_voies_du_1er_arrondissement_de_Paris
